,PA01H:CO,PA01H:PM10,PA01H:PM25,PA01H:NO2,PA01H:NO,PA01H:NOX,PA01H:O3,OBJECTID
,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,0
,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,1
,Monoxyde de carbone,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone,2
,CO,PM10,PM25,NO2,NO,NOX,O3,3
,mg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/01/08 07:00:00+00,,15.900000,12.200000,,,,9.900000,179
2021/01/08 08:00:00+00,,14.200000,10.600000,,,,4.500000,180
2021/01/08 09:00:00+00,,18.400000,12,,,,7.900000,181
2021/01/08 10:00:00+00,,19.600000,12,,,,10.800000,182
2021/01/08 11:00:00+00,,22.800000,13.600000,,,,15.100000,183
2021/01/08 12:00:00+00,,25.300000,14.800000,,,,10.300000,184
2021/01/08 13:00:00+00,,29.200000,18.100000,,,,11.200000,185
2021/01/08 14:00:00+00,,27.100000,15.800000,,,,20.200000,186
2021/01/08 15:00:00+00,,21.900000,14.900000,,,,21.100000,187
2021/01/08 16:00:00+00,,16.900000,10.800000,,,,49.100000,188
2021/01/08 17:00:00+00,,8.500000,5.300000,,,,42.700000,189
2021/01/08 18:00:00+00,,10.300000,5.300000,,,,32.500000,190
2021/01/08 19:00:00+00,,17.500000,10.100000,,,,24,191
2021/01/08 20:00:00+00,,15.600000,10.700000,,,,21.800000,192
2021/01/08 21:00:00+00,,18.700000,14.400000,,,,13.100000,193
2021/01/08 22:00:00+00,,25.400000,19.300000,,,,6.800000,194
2021/01/08 23:00:00+00,,26.300000,19.800000,,,,15.400000,195
2021/01/09 00:00:00+00,,22.300000,19.800000,,,,6.600000,196
2021/01/09 01:00:00+00,,40.600000,34.300000,,,,4.900000,197
2021/01/09 02:00:00+00,,37.100000,29.400000,,,,4.800000,198
2021/01/09 03:00:00+00,,32.100000,28.800000,,,,5.900000,199
2021/01/09 04:00:00+00,,27.500000,25.700000,,,,5.200000,200
2021/01/09 05:00:00+00,,28.600000,24,,,,7,201
2021/01/09 06:00:00+00,,30,25.100000,,,,6.600000,202
2021/01/09 07:00:00+00,,31,27.500000,,,,4.400000,203
2021/01/09 08:00:00+00,,32.600000,28.500000,,,,13.200000,204
2021/01/09 09:00:00+00,,29,25.400000,,,,12.500000,205
2021/01/09 10:00:00+00,,30.400000,27.200000,,,,15.400000,206
2021/01/09 11:00:00+00,,31.800000,28.200000,,,,18.900000,207
2021/01/09 12:00:00+00,,32.500000,27.400000,,,,19.500000,208
2021/01/09 13:00:00+00,,32.900000,25.700000,,,,25.900000,209
2021/01/09 14:00:00+00,,25.200000,20.400000,,,,33.400000,210
2021/01/09 15:00:00+00,,22.400000,18.800000,,,,28.600000,211
2021/01/09 16:00:00+00,,25.800000,19.300000,,,,20.400000,212
2021/01/09 17:00:00+00,,26.400000,21.300000,,,,11.200000,213
2021/01/09 18:00:00+00,,28.200000,24.200000,,,,6.900000,214
2021/01/09 19:00:00+00,,30.800000,25.600000,,,,8.700000,215
2021/01/09 20:00:00+00,,32,27.500000,,,,11.100000,216
2021/01/09 21:00:00+00,,28.500000,28.700000,,,,15.300000,217
2021/01/09 22:00:00+00,,29.300000,27.200000,,,,20.700000,218
2021/01/09 23:00:00+00,,26.500000,25.200000,,,,27.200000,219
2021/01/10 00:00:00+00,,24.800000,21.500000,,,,33,220
2021/01/10 01:00:00+00,,25.900000,22.700000,,,,29,221
2021/01/10 02:00:00+00,,26.100000,23.500000,,,,29.500000,222
2021/01/10 03:00:00+00,,25.400000,23.500000,,,,23.500000,223
2021/01/10 04:00:00+00,,29.100000,25.200000,,,,21.300000,224
2021/01/10 05:00:00+00,,31.700000,25.200000,,,,24.700000,225
2021/01/10 06:00:00+00,,25.600000,21.900000,,,,28,226
2021/01/10 07:00:00+00,,21.400000,17.900000,,,,23.800000,227
2021/01/10 08:00:00+00,,23.200000,18.600000,,,,19.900000,228
2021/01/10 09:00:00+00,,23.400000,19.400000,,,,24.300000,229
2021/01/10 10:00:00+00,,23.500000,18.300000,,,,26.400000,230
2021/01/10 11:00:00+00,,25.500000,20.300000,,,,29.400000,231
